cTokenName,cTokenSymbol,cToken,underlying,symbolHash,baseUnit,priceSource,fixedPrice,uniswapMarket,reporter,reporterMultiplier,isUniswapReversed
Compound Collateral,cCOMP,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,0xc00e94cb662c3520282e6f5717214004a7f26888,0xb6dbcaeee318e11fe1e87d4af04bdd7b4d6a3f13307225dc7ee72f7c085ab454,1000000000000000000,2,0,0xea4ba4ce14fdd287f380b55419b1c5b6c3f22ab6,0xe270b8e9d7a7d2a7ee35a45e43d17d56b3e272b1,10000000000000000
Compound ChainLink Token,cLINK,0xface851a4921ce59e912d19329929ce6da6eb0c7,0x514910771af9ca656af840dff83e8264ecf986ca,0x921a3539bcb764c889432630877414523e7fbca00c211bc787aeae69e2e3a779,1000000000000000000,2,0,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,0xbcfd9b1a97ccd0a3942f0408350cdc281cdca1b1,10000000000000000
Compound TrueUSD,cTUSD,0x12392f67bdf24fae0af363c24ac620a2f67dad86,0x0000000000085d4780b73119b644ae5ecd22b376,0xa1b8d8f7e538bb573797c963eeeed40d0bcb9f28c56104417d0da1b372ae3051,1000000000000000000,1,1000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,1
Compound Aave Token,cAAVE,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xde46fbfa339d54cd65b79d8320a7a53c78177565c2aaf4c8b13eed7865e7cfc8,1000000000000000000,2,0,0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,0x0238247e71ad0ab272203af13baea72e99ee7c3c,10000000000000000
Compound Sushi Token,cSUSHI,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xbbf304add43db0a05d104474683215530b076be1dfdf72a4d53a1e443d8e4c21,1000000000000000000,2,0,0x73a6a761fe483ba19debb8f56ac5bbf14c0cdad1,0x1a6aa40170118baf36bac82214dc5681af69b0cf,10000000000000000
Compound Maker,cMKR,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xec76ec3a7e5f010a9229e69fa1945af6f0c6cc5b0a625bf03bd6381222192020,1000000000000000000,2,0,0xe8c6c9227491c0a8156a0106a0204d881bb7e531,0xba895504a8e286691e7dacfb47ae8a3a737e2ce1,10000000000000000
Compound yearn.finance,cYFI,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xec34391362c28ee226b3b8624a699ee507a40fa771fd01d38b03ac7b70998bbe,1000000000000000000,2,0,0x04916039b1f59d9745bf6e0a21f191d1e0a84287,0xba4319741782151d2b1df4799d757892efda4165,10000000000000000
Compound Wrapped BTC,cWBTC,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xe98e2830be1a7e4156d656a7505e65d08c67660dc618072422e9c78053c261e9,100000000,2,0,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0x4846efc15cc725456597044e6267ad0b3b51353e,1000000
Compound Pax Dollar,cUSDP,0x041171993284df560249b57358f931d9eb7b925d,0x8e870d67f660d95d5be530380d0ec0bd388289e1,0xe6ce7ecb96a43fc15fb4020f93c37885612803dd74366bb6815e4f607ac3ca20,1000000000000000000,1,1000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,1
Compound Fei USD,cFEI,0x7713dd9ca933848f6819f38b8352d9a15ea73f67,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0x58c46f3a00a69ae5a5ce163895c14f8f5b7791333af9fe6e7a73618cb5460913,1000000000000000000,2,0,0x2028d7ef0223c45cadbf05e13f1823c1228012bf,0xde2fa230d4c05ec0337d7b4fc10e16f5663044b0,10000000000000000
